,episode,episode_reward,step,run_id,agent,env,seed,experiment,log_save_tb,eval_frequency,num_train_steps,Agent
0,20.0,0.0,20000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
1,40.0,0.0,40000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
2,60.0,2.4,60000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
3,80.0,2.6,80000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
4,100.0,0.0,100000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
5,120.0,146.5,120000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
6,140.0,220.5,140000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
7,160.0,798.0,160000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
8,180.0,839.0,180000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
9,200.0,822.9,200000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
10,220.0,743.8,220000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
11,240.0,833.8,240000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
12,260.0,824.9,260000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
13,280.0,829.6,280000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
14,300.0,830.5,300000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
15,320.0,831.5,320000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
16,340.0,835.7,340000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
17,360.0,837.2,360000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
18,380.0,838.1,380000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
19,400.0,839.1,400000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
20,420.0,837.9,420000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
21,440.0,839.4,440000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
22,460.0,839.4,460000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
23,480.0,839.4,480000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
24,500.0,840.3,500000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
25,520.0,839.6,520000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
26,540.0,840.8,540000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
27,560.0,841.1,560000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
28,580.0,842.3,580000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
29,600.0,840.4,600000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
30,620.0,842.2,620000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
31,640.0,842.3,640000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
32,660.0,840.5,660000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
33,680.0,837.6,680000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
34,700.0,842.7,700000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
35,720.0,842.0,720000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
36,740.0,842.1,740000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
37,760.0,842.0,760000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
38,780.0,842.7,780000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
39,800.0,842.4,800000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
40,820.0,842.5,820000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
41,840.0,842.2,840000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
42,860.0,842.3,860000,run=17,sac,cartpole_swingup_sparse,3,bench,false,20000,10000000.0,SAC
